# Sources: Mozc symbol.tsv (BSD-3-Clause); EDRDG EDICT2 (CC BY-SA 4.0)
あい	Ｉ	記号
あい	ｉ	記号
あいさむ	ISAM	名詞
あいてこていせつぞく	PVC	名詞
あいてさきこていせつぞく	PVC	名詞
あいてさきせんたくせつぞく	SVC	名詞
あいてせんたくせつぞく	SVC	名詞
あいぬ	ㇰ	記号
あいぬ	ㇱ	記号
あいぬ	ㇲ	記号
あいぬ	ㇳ	記号
あいぬ	ㇴ	記号
あいぬ	ㇵ	記号
あいぬ	ㇶ	記号
あいぬ	ㇷ	記号
あいぬ	ㇸ	記号
あいぬ	ㇹ	記号
あいぬ	ㇺ	記号
あいぬ	ㇻ	記号
あいぬ	ㇼ	記号
あいぬ	ㇽ	記号
あいぬ	ㇾ	記号
あいぬ	ㇿ	記号
あいぬ	ㇷ゚	記号
あいぬ	セ゚	記号
あいぬ	ツ゚	記号
あいぬ	ト゚	記号
あいまいぼいん	ə	記号
あいまいぼいん	ɚ	記号
あうすとらる	₳	記号
あうすとらるきごう	₳	記号
あかへん	赤	記号
あき	🀨	記号
あきゅーと	´	記号
あきゅーと	Á	記号
あきゅーと	É	記号
あきゅーと	Í	記号
あきゅーと	Ó	記号
あきゅーと	Ú	記号
あきゅーと	á	記号
あきゅーと	é	記号
あきゅーと	í	記号
あきゅーと	ó	記号
あきゅーと	ú	記号
あくせすこんとろーるりすと	ACL	名詞
あくせすたんい	AU	名詞
あくてぃぶさーばーぺーじ	ASP	名詞
あくび	欠	記号
あさかんむり	麻	記号
あし	𧾷	記号
あしへん	足	記号
あしへん	𧾷	記号
あすきー	ASCII	名詞
あすたりすく	＊	記号
あすたりすく	✢	記号
あすたりすく	✣	記号
あすたりすく	✤	記号
あすたりすく	✥	記号
あすたりすく	✱	記号
あすたりすく	✲	記号
あすたりすく	✳	記号
あすたりすく	✴	記号
あすたりすく	✵	記号
あすたりすく	✶	記号
あすたりすく	✷	記号
あすたりすく	✸	記号
あすたりすく	✹	記号
あすたりすく	✺	記号
あすたりすく	✻	記号
あすたりすく	✼	記号
あすたりすく	✽	記号
あすたりすく	✾	記号
あすたりすく	❃	記号
あすたりすく	❇	記号
あすたりすく	❈	記号
あすたりすく	❉	記号
あすたりすく	❊	記号
あすたりすく	❋	記号
あすてりすく	＊	記号
あすてりすく	✢	記号
あすてりすく	✣	記号
あすてりすく	✤	記号
あすてりすく	✥	記号
あすてりすく	✱	記号
あすてりすく	✲	記号
あすてりすく	✳	記号
あすてりすく	✴	記号
あすてりすく	✵	記号
あすてりすく	✶	記号
あすてりすく	✷	記号
あすてりすく	✸	記号
あすてりすく	✹	記号
あすてりすく	✺	記号
